"[40.71099, -74.01475, 40.70993, -74.01505]",M00715118,#FF0000,WEST ST,Liberty St,Albany St,W
"[40.70905, -74.01414, 40.7083, -74.01443]",M0072107,#FF0000,WASHINGTON ST,Carlisle St,Rector St,W
"[40.70907, -74.0142, 40.70932, -74.01478]",M00737411,#FF0000,CARLISLE ST,Washington St,West St,S
"[40.7093, -74.01293, 40.70871, -74.01319]",M0073954,#FF0000,GREENWICH ST,Thames St,Rector St,E
"[40.70871, -74.01319, 40.70798, -74.01351]",M007395234,#00FF00,GREENWICH ST,Thames St,Rector St,E
"[40.70997, -74.01615, 40.70978, -74.0152]",M00784728,#FF0000,ALBANY ST,South End Ave,West St,S
"[40.70717, -74.01656, 40.70735, -74.01702]",M00844514,#00FF00,3 PL,Little West St,Battery Pl,S
"[40.70689, -74.01748, 40.70736, -74.01712]",M00844610,#00FF00,BATTERY PL,2 Pl,3 Pl,E
"[40.70966, -74.01281, 40.70938, -74.0129]",M0085017,#FF0000,GREENWICH ST,Cedar St,Thames St,E
"[40.70717, -74.01386, 40.70736, -74.01378]",M0092066,#00FF00,GREENWICH ST,Edgar St,Rector St,E
"[40.70736, -74.01378, 40.70762, -74.01367]",M00920679,#FF0000,GREENWICH ST,Edgar St,Rector St,E
"[40.70762, -74.01367, 40.7079, -74.01355]",M009206180,#00FF00,GREENWICH ST,Edgar St,Rector St,E
"[40.70834, -74.01727, 40.70813, -74.01679]",M00960126,#FF0000,WEST THAMES ST,South End Ave,Battery Pl,S
"[40.70742, -74.01724, 40.70727, -74.01735]",M00960212,#FF0000,BATTERY PL,3 Pl,2 Pl,W
"[40.70727, -74.01735, 40.70695, -74.01761]",M00960274,#00FF00,BATTERY PL,3 Pl,2 Pl,W
"[40.70752, -74.017, 40.70774, -74.01683]",M00960812,#FF0000,BATTERY PL,Third Pl,West Thames St,E
"[40.70774, -74.01683, 40.708, -74.01664]",M009608105,#00FF00,BATTERY PL,Third Pl,West Thames St,E
"[40.71002, -74.01376, 40.70961, -74.01391]",M00981313,#FF0000,WASHINGTON ST,Cedar St,Albany St,W
"[40.70689, -74.01355, 40.70708, -74.01337]",M009998315,#00FF00,TRINITY PL,Morris St,Exchange Alley,E
"[40.70969, -74.01462, 40.70959, -74.01437]",M0100529,#00FF00,ALBANY ST,West St,Washington St,S
"[40.70959, -74.01437, 40.70945, -74.01404]",M01005289,#00FF00,ALBANY ST,West St,Washington St,S
"[40.70678, -74.01758, 40.7065, -74.01686]",M0101190,#FF0000,2 PL,Battery Pl,Little West St,S
"[40.70742, -74.01205, 40.70681, -74.01258]",M01020911,#FF0000,BROADWAY,Rector St,Exchange Alley,W
"[40.70819, -74.01452, 40.70794, -74.01461]",M01028010,#00FF00,WASHINGTON ST,Rector St,Joseph P Ward St,W
"[40.70794, -74.01461, 40.70761, -74.01474]",M010280104,#00FF00,WASHINGTON ST,Rector St,Joseph P Ward St,W
"[40.70761, -74.01474, 40.70749, -74.01478]",M010280227,#00FF00,WASHINGTON ST,Rector St,Joseph P Ward St,W
"[40.70839, -74.01509, 40.7082, -74.01452]",M01036610,#FF0000,RECTOR ST,West St,Washington St,S
"[40.70902, -74.014, 40.70825, -74.0143]",M0103697,#FF0000,WASHINGTON ST,Carlisle St,Rector St,E
"[40.70812, -74.01434, 40.70745, -74.0146]",M0103706,#FF0000,WASHINGTON ST,Rector St,Joseph P Ward St,E
"[40.70813, -74.01433, 40.70794, -74.01372]",M0103728,#FF0000,RECTOR ST,Washington St,Greenwich St,S
"[40.70951, -74.01377, 40.70923, -74.01313]",M0103758,#FF0000,ALBANY ST,Washington St,Greenwich St,N
"[40.70674, -74.01263, 40.7059, -74.0133]",M01041918,#FF0000,BROADWAY,Exchange Alley,Morris St,W
"[40.70782, -74.01582, 40.70834, -74.01698]",M0104780,#00FF00,WEST THAMES ST,West St,South End Ave,N
"[40.70834, -74.01698, 40.70848, -74.01729]",M010478372,#FF0000,WEST THAMES ST,West St,South End Ave,N
"[40.70802, -74.01657, 40.7078, -74.01609]",M01047924,#00FF00,WEST THAMES ST,Battery Pl,West St,S
"[40.7078, -74.01609, 40.70771, -74.01589]",M010479179,#FF0000,WEST THAMES ST,Battery Pl,West St,S
"[40.70849, -74.01518, 40.70932, -74.01487]",M01050111,#FF0000,WEST ST,Rector St,Carlisle St,E
"[40.70904, -74.01202, 40.70919, -74.01192]",M0106416,#FF0000,TRINITY PL,Thames St,Cedar St,E
"[40.7101, -74.01274, 40.70924, -74.01311]",M0107230,#FF0000,GREENWICH ST,Liberty St,Albany St,W
"[40.7097, -74.01268, 40.70941, -74.01203]",M01072616,#FF0000,CEDAR ST,Greenwich St,Trinity Pl,N
"[40.70961, -74.01276, 40.70931, -74.0121]",M01072716,#FF0000,CEDAR ST,Greenwich St,Trinity Pl,S
"[40.70955, -74.01157, 40.70942, -74.01126]",M01075926,#FF0000,LIBERTY ST,Church St,Broadway,S
"[40.70942, -74.01126, 40.70926, -74.01093]",M010759123,#00FF00,LIBERTY ST,Church St,Broadway,S
"[40.70767, -74.01284, 40.70764, -74.01275]",M01086820,#FF0000,RECTOR ST,Trinity Pl,Broadway,S
"[40.70764, -74.01275, 40.70749, -74.01223]",M01086847,#00FF00,RECTOR ST,Trinity Pl,Broadway,S
"[40.70749, -74.01223, 40.70743, -74.01206]",M010868200,#FF0000,RECTOR ST,Trinity Pl,Broadway,S
"[40.70943, -74.01384, 40.70914, -74.0132]",M01103212,#FF0000,ALBANY ST,Washington St,Greenwich St,S
"[40.70971, -74.01156, 40.71027, -74.0112]",M01127212,#FF0000,CHURCH ST,Liberty St,Cortlandt St,E
"[40.70774, -74.01181, 40.70748, -74.012]",M011406360,#FF0000,BROADWAY,Thames St,Rector St,W
"[40.70911, -74.01318, 40.70897, -74.01324]",M01154913,#00FF00,GREENWICH ST,Albany St,Carlisle St,W
"[40.70897, -74.01324, 40.70883, -74.0133]",M01154964,#00FF00,GREENWICH ST,Albany St,Carlisle St,W
"[40.70883, -74.0133, 40.7088, -74.01331]",M011549121,#FF0000,GREENWICH ST,Albany St,Carlisle St,W
"[40.70882, -74.01332, 40.70909, -74.01393]",M01155020,#FF0000,CARLISLE ST,Greenwich St,Washington St,N
"[40.71017, -74.01621, 40.71076, -74.01598]",M01156416,#FF0000,SOUTH END AVE,Albany St,Liberty St,E
"[40.71076, -74.01598, 40.71113, -74.01583]",M011564240,#00FF00,SOUTH END AVE,Albany St,Liberty St,E
"[40.71113, -74.01583, 40.71147, -74.01569]",M011564383,#00FF00,SOUTH END AVE,Albany St,Liberty St,E
"[40.70721, -74.01636, 40.70733, -74.01664]",M0115690,#FF0000,3 PL,Little West St,Battery Pl,N
"[40.70733, -74.01664, 40.7074, -74.01682]",M01156988,#00FF00,3 PL,Little West St,Battery Pl,N
"[40.7074, -74.01682, 40.70747, -74.01699]",M011569143,#FF0000,3 PL,Little West St,Battery Pl,N
"[40.70747, -74.01699, 40.70749, -74.01703]",M011569198,#00FF00,3 PL,Little West St,Battery Pl,N
"[40.70772, -74.01287, 40.70896, -74.01206]",M0116174,#FF0000,TRINITY PL,Rector St,Thames St,E
"[40.70824, -74.01122, 40.7078, -74.01159]",M0116249,#00FF00,BROADWAY,Pine St,Wall St,E
"[40.7078, -74.01159, 40.70778, -74.0116]",M011624199,#FF0000,BROADWAY,Pine St,Wall St,E
"[40.70767, -74.01171, 40.70677, -74.01244]",M0116250,#FF0000,BROADWAY,Wall St,Exchange Pl,E
"[40.70713, -74.01333, 40.70738, -74.01313]",M0116302,#FF0000,TRINITY PL,Exchange Alley,Rector St,E
"[40.70738, -74.01313, 40.70769, -74.01289]",M011630110,#00FF00,TRINITY PL,Exchange Alley,Rector St,E
"[40.70673, -74.01248, 40.70587, -74.01288]",M0116775,#00FF00,BROADWAY,Exchange Pl,Beaver St,E
"[40.70959, -74.01517, 40.70789, -74.0158]",M01197135,#FF0000,WEST ST,Albany St,Thames St,W
"[40.70746, -74.01725, 40.7076, -74.01751]",M01213832,#FF0000,THIRD PL,Battery Pl,South End Ave,S
"[40.70736, -74.01488, 40.70763, -74.01558]",M0121600,#FF0000,JOSEPH P WARD ST,Washington St,West St,S
"[40.70823, -74.01426, 40.70805, -74.01368]",M01247110,#FF0000,RECTOR ST,Washington St,Greenwich St,N
"[40.7085, -74.01505, 40.7083, -74.01446]",M01247610,#FF0000,RECTOR ST,West St,Washington St,N
"[40.70806, -74.01676, 40.70759, -74.01711]",M01291815,#00FF00,BATTERY PL,West Thames St,Third Pl,W
"[40.70989, -74.01462, 40.71033, -74.01453]",M01291912,#FF0000,WEST ST,Albany St,Cedar St,E
"[40.71086, -74.01429, 40.71058, -74.01373]",M01292510,#FF0000,LIBERTY ST,West St,Washington St,S
"[40.70913, -74.01223, 40.70935, -74.01284]",M01295825,#FF0000,THAMES ST,Trinity Pl,Greenwich St,N
"[40.70902, -74.01228, 40.70926, -74.01292]",M01295921,#FF0000,THAMES ST,Trinity Pl,Greenwich St,S
"[40.70787, -74.0135, 40.70776, -74.01311]",M01296016,#FF0000,RECTOR ST,Greenwich St,Trinity Pl,S
"[40.70798, -74.01345, 40.70786, -74.01305]",M01296116,#FF0000,RECTOR ST,Greenwich St,Trinity Pl,N
"[40.71004, -74.01261, 40.70974, -74.01275]",M01298314,#FF0000,GREENWICH ST,Liberty St,Cedar St,E
"[40.70938, -74.01484, 40.7097, -74.01473]",M0129847,#FF0000,WEST ST,Carlisle St,Albany St,E
"[40.70779, -74.01282, 40.70754, -74.01203]",M01300119,#FF0000,RECTOR ST,Trinity Pl,Broadway,N
"[40.70849, -74.01719, 40.70891, -74.01689]",M01301415,#00FF00,SOUTH END AVE,West Thames St,Rector Pl *E Rd,E
"[40.70843, -74.01749, 40.70847, -74.0176]",M01301513,#00FF00,SOUTH END AVE,West Thames St,Dead End,W
"[40.70847, -74.0176, 40.70871, -74.0182]",M01301547,#FF0000,SOUTH END AVE,West Thames St,Dead End,W
"[40.70882, -74.01815, 40.7086, -74.01761]",M0130160,#FF0000,SOUTH END AVE,Dead End,West Thames St,E
"[40.7086, -74.01761, 40.70852, -74.0174]",M013016171,#00FF00,SOUTH END AVE,Dead End,West Thames St,E
"[40.70983, -74.01181, 40.71095, -74.0142]",M0130520,#FF0000,LIBERTY ST,Church St,West St,N
"[40.71138, -74.01549, 40.71106, -74.01473]",M01305338,#FF0000,LIBERTY ST,South End Ave,West St,S
"[40.70917, -74.01411, 40.7094, -74.01469]",M01305612,#FF0000,CARLISLE ST,Washington St,West St,N
"[40.7087, -74.01334, 40.70901, -74.01405]",M0130570,#FF0000,CARLISLE ST,Greenwich St,Washington St,S
"[40.71016, -74.01641, 40.71028, -74.01699]",M01317514,#00FF00,ALBANY ST,South End Ave,Dead End,N
"[40.71028, -74.01699, 40.71045, -74.01775]",M013175181,#FF0000,ALBANY ST,South End Ave,Dead End,N
"[40.71035, -74.0178, 40.71028, -74.01747]",M0131760,#FF0000,ALBANY ST,Dead End,South End Ave,S
"[40.71028, -74.01747, 40.71005, -74.01644]",M01317695,#00FF00,ALBANY ST,Dead End,South End Ave,S
"[40.71117, -74.0147, 40.71152, -74.01554]",M01317712,#FF0000,LIBERTY ST,West St,South End Ave,N
"[40.70989, -74.01503, 40.71006, -74.01596]",M0131788,#FF0000,ALBANY ST,West St,South End Ave,N
"[40.71045, -74.01346, 40.71029, -74.01312]",M0131790,#FF0000,LIBERTY ST,Washington St,Greenwich St,S
"[40.71029, -74.01312, 40.71011, -74.01274]",M013179110,#00FF00,LIBERTY ST,Washington St,Greenwich St,S
"[40.71053, -74.01449, 40.71087, -74.01442]",M0131840,#FF0000,WEST ST,Cedar St,Liberty St,E
"[40.70978, -74.0117, 40.71034, -74.01133]",M0133460,#FF0000,CHURCH ST,Liberty St,Cortlandt St,W
"[40.71046, -74.01125, 40.71098, -74.01091]",M0133470,#FF0000,CHURCH ST,Cortlandt St,Dey St,W
"[40.71704, -74.01269, 40.71695, -74.01249]",M00020915,#00FF00,CHAMBERS ST,West St,Greenwich St,S
"[40.71695, -74.01249, 40.71686, -74.0123]",M00020980,#FF0000,CHAMBERS ST,West St,Greenwich St,S
"[40.71686, -74.0123, 40.71628, -74.01107]",M000209142,#00FF00,CHAMBERS ST,West St,Greenwich St,S
